# Logger type: CL1000
# HW rev: 8.1x
# FW rev: 5.86
# Logger ID: id0001
# Session No.: 286
# Split No.: 1
# Time: 20000101T000007
# Value separator: ";"
# Time format: 3
# Time separator: ":"
# Time separator ms: ""
# Date separator: ""
# Time and date separator: "T"
# Bit-rate: 1000000
# Silent mode: false
# Cyclic mode: true
Timestamp;Type;ID;Data
00:00:07156;1;1a000008;f3000000790c0000
00:00:07158;1;1a000007;8e00000000000000
00:00:07159;1;1a000006;a11948ff7d170000
00:00:07160;1;1a00000c;0000000000800000
00:00:07161;1;1a000003;ea001b008801c50c
00:00:07162;1;1a000013;0000000000000000
00:00:07166;1;1a000008;f3000000790c0000
00:00:07168;1;1a000007;9200000000000000
00:00:07169;1;1a000006;b11a00ff65180000
00:00:07170;1;1a00000c;0000000000800000
00:00:07171;1;1a000003;fb001c008801c60c
00:00:07172;1;1a000013;0000000000000000
00:00:07176;1;1a000008;f3000000790c0000
00:00:07178;1;1a000007;9300000000000000
00:00:07179;1;1a000006;2f1b7fff2e190000
00:00:07180;1;1a00000c;0000000000800000
00:00:07181;1;1a000003;0b011e008801c50c
00:00:07182;1;1a000013;0000000000000000
00:00:07186;1;1a000008;f3000000790c0000
00:00:07188;1;1a000007;9700000000000000
00:00:07189;1;1a000006;4a1c85ffd8190000
00:00:07190;1;1a00000c;0000000000800000
00:00:07191;1;1a000003;1b0120008801c50c
00:00:07192;1;1a000013;0000000000000000
00:00:07196;1;1a000008;f3000000790c0000
00:00:07198;1;1a000007;9900000000000000
00:00:07199;1;1a000006;8c1c85ff631a0000
00:00:07200;1;1a00000c;0000000000800000
00:00:07201;1;1a000003;2a0121008801c60c
00:00:07202;1;1a000013;0000000000000000
00:00:07206;1;1a000008;f3000000790c0000
00:00:07208;1;1a000007;9a00000000000000
00:00:07209;1;1a000006;eb1c88ffcf1a0000
00:00:07210;1;1a00000c;0000000000800000
00:00:07211;1;1a000003;390123008801c70c
00:00:07212;1;1a000013;0000000000000000
00:00:07216;1;1a000008;f3000000790c0000
00:00:07218;1;1a000007;9b00000000000000
00:00:07219;1;1a000006;3d1d6aff1b1b0000
00:00:07220;1;1a00000c;0000000000800000
00:00:07221;1;1a000003;460123008801c80c
00:00:07222;1;1a000013;0000000000000000
00:00:07226;1;1a000008;f3000000790c0000
00:00:07228;1;1a000007;9b00000000000000
00:00:07229;1;1a000006;1d1d64ff491b0000
00:00:07230;1;1a00000c;0000000000800000
00:00:07231;1;1a000003;530124008801c60c
00:00:07232;1;1a000013;0000000000000000
00:00:07236;1;1a000008;f3000000790c0000
00:00:07238;1;1a000007;9b00000000000000
00:00:07239;1;1a000006;2f1d5aff581b0000
00:00:07240;1;1a00000c;0000000000800000
00:00:07241;1;1a000003;5e0124008801c50c
00:00:07243;1;1a000013;0000000000000000
00:00:07247;1;1a000008;f3000000790c0000
00:00:07249;1;1a000007;950002006e011400
00:00:07250;1;1a000006;571bc6ff581b0000
00:00:07251;1;1a00000c;0000000000800000
00:00:07252;1;1a000003;670120008801c50c
00:00:07254;1;1a000013;0000000000000000
00:00:07258;1;1a000008;f3000000790c0000
00:00:07260;1;1a000007;940000006a01feff
00:00:07261;1;1a000006;cd1a1d00581b0000
00:00:07262;1;1a00000c;0000000000800000
00:00:07263;1;1a000003;6f0120008801c70c
00:00:07265;1;1a000013;0000000000000000
00:00:07269;1;1a000008;f3000000790c0000
00:00:07271;1;1a000007;9400ffff6a01cfff
00:00:07272;1;1a000006;881b4b00581b0000
00:00:07273;1;1a00000c;0000000000800000
00:00:07274;1;1a000003;770120008801c60c
00:00:07276;1;1a000013;0000000000000000
00:00:07280;1;1a000008;f3000000790c0000
00:00:07282;1;1a000007;9300fbff63018cff
00:00:07283;1;1a000006;751b0000581b0000
00:00:07284;1;1a00000c;0000000000800000
00:00:07285;1;1a000003;7f0120008801c80c
00:00:07287;1;1a000013;0000000000000000
00:00:07291;1;1a000008;f3000000790c0000
00:00:07293;1;1a000007;920015004d013d00
00:00:07294;1;1a000006;f01a5bff581b0000
00:00:07295;1;1a00000c;0000000000800000
00:00:07296;1;1a000003;860121008801c80c
00:00:07298;1;1a000013;0000000000000000
00:00:07302;1;1a000008;f3000000790c0000
00:00:07304;1;1a000007;97000b008601e6ff
00:00:07305;1;1a000006;e11a3d00581b0000
00:00:07307;1;1a00000c;0000000000800000
00:00:07308;1;1a000003;8c0120008801c90c
00:00:07309;1;1a000013;0000000000000000
00:00:07313;1;1a000008;f3000000790c0000
00:00:07316;1;1a000007;93001b0055013a00
00:00:07317;1;1a000006;fb1a2700581b0000
00:00:07318;1;1a00000c;0c00000000800000
00:00:07319;1;1a000003;92011f008801c70c
00:00:07320;1;1a000013;0000000000000000
00:00:07325;1;1a000008;f3000000790c0000
00:00:07327;1;1a000007;940027005a014400
00:00:07328;1;1a000006;691b0700581b0000
00:00:07330;1;1a00000c;5100000000800000
00:00:07331;1;1a000003;98011b008801c60c
00:00:07332;1;1a000013;0000000000000000
00:00:07336;1;1a000008;f3000000790c0000
00:00:07339;1;1a000007;9700260089013100
00:00:07340;1;1a000006;801bb300581b0000
00:00:07341;1;1a00000c;9d00000000800000
00:00:07342;1;1a000003;9d0118008801c70c
00:00:07344;1;1a000013;0000000000000000
00:00:07348;1;1a000008;f3000000790c0000
00:00:07351;1;1a000007;930032006401d8ff
00:00:07352;1;1a000006;001b72ff581b0000
00:00:07353;1;1a00000c;9c00000000800000
00:00:07354;1;1a000003;a20119008801c80c
00:00:07355;1;1a000013;0000000000000000
00:00:07359;1;1a000008;f3000000790c0000
00:00:07360;1;1100000;0000000000000004
00:00:07362;1;1a000007;99002d00aa0195ff
00:00:07363;1;1a000006;cc1abffe581b0000
00:00:07364;1;1a00000c;9e00000000800000
00:00:07365;1;1a000003;a70120008801c90c
00:00:07366;1;1a000013;0000000000000000
00:00:07371;1;1a000008;f3000000790c0000
00:00:07373;1;1a000007;a0004d00c2012900
00:00:07375;1;1a000006;9a1bcc00581b0000
00:00:07376;1;1a00000c;d000000000800000
00:00:07377;1;1a000003;ab011e008801ca0c
00:00:07378;1;1a000013;0000000000000000
00:00:07383;1;1a000008;f3000000790c0000
00:00:07385;1;1a000007;9d004f00c001baff
00:00:07386;1;1a000006;871a3700581b0000
00:00:07387;1;1a00000c;f100000000800000
00:00:07388;1;1a000003;af011c008801cb0c
00:00:07389;1;1a000013;0000000000000000
00:00:07394;1;1a000008;f3000000790c0000
00:00:07396;1;1a000007;a90064000d02fbff
00:00:07397;1;1a000006;991b4401581b0000
00:00:07399;1;1a00000c;0b01000000800000
00:00:07400;1;1a000003;b30121008801c90c
00:00:07401;1;1a000013;0000000000000000
00:00:07405;1;1a000008;f3000000790c0000
00:00:07408;1;1a000007;a9005b005d025cff
00:00:07409;1;1a000006;151a92ff581b0000
00:00:07410;1;1a00000c;4001000000800000
00:00:07411;1;1a000003;b6011e008801ca0c
00:00:07412;1;1a000013;0000000000000000
00:00:07417;1;1a000008;f3000000790c0000
00:00:07419;1;1a000007;b80084008502f4ff
00:00:07420;1;1a000006;731ca801581b0000
00:00:07422;1;1a00000c;7701000000800000
00:00:07423;1;1a000003;b90123008801ca0c
00:00:07424;1;1a000013;0000000000000000
00:00:07428;1;1a000008;f3000000790c0000
00:00:07431;1;1a000007;b5008600ad025fff
00:00:07432;1;1a000006;5d1cc401581b0000
00:00:07433;1;1a00000c;aa01000000800000
00:00:07434;1;1a000003;bd0126008801cc0c
00:00:07435;1;1a000013;0000000000000000
00:00:07440;1;1a000008;f3000000790c0000
00:00:07442;1;1a000007;bd0090001b03faff
00:00:07443;1;1a000006;e21ad2fd581b0000
00:00:07445;1;1a00000c;d901000000800000
00:00:07446;1;1a000003;c00126008801cb0c
00:00:07447;1;1a000013;0000000000000000
00:00:07451;1;1a000008;f3000000790c0000
00:00:07454;1;1a000007;ab009800ac029aff
00:00:07455;1;1a000006;bb19d2ff581b0000
00:00:07456;1;1a00000c;1402000000800000
00:00:07457;1;1a000003;c30126008801cb0c
00:00:07458;1;1a000013;0000000000000000
00:00:07463;1;1a000008;f3000000790c0000
00:00:07465;1;1a000007;c000b0002303b2ff
00:00:07466;1;1a000006;0d196afe581b0000
00:00:07468;1;1a00000c;3502000000800000
00:00:07469;1;1a000003;c50124008801ca0c
00:00:07470;1;1a000013;0000000000000000
00:00:07475;1;1a000008;f3000000790c0000
00:00:07477;1;1a000007;d100ba005304b0fe
00:00:07478;1;1a000006;fd1c4e02581b0000
00:00:07479;1;1a00000c;6e02000000800000
00:00:07480;1;1a000003;c70127008801cb0c
00:00:07481;1;1a000013;0000000000000000
00:00:07486;1;1a000008;f3000000790c0000
00:00:07488;1;1a000007;f500e900c00447ff
00:00:07489;1;1a000006;551ba2fd581b0000
00:00:07491;1;1a00000c;d302000000800000
00:00:07492;1;1a000003;ca0131008801cc0c
00:00:07493;1;1a000013;0000000000000000
00:00:07497;1;1a000008;f3000000790c0000
00:00:07500;1;1a000007;d000fe0040032b00
00:00:07501;1;1a000006;8b19f9ff581b0000
00:00:07502;1;1a00000c;1003000000800000
00:00:07503;1;1a000003;cc0135008801cb0c
00:00:07504;1;1a000013;0000000000000000
00:00:07509;1;1a000008;f3000000790c0000
00:00:07511;1;1a000007;d0000b0112039dff
00:00:07512;1;1a000006;9918a800581b0000
00:00:07514;1;1a00000c;1b03000000800000
00:00:07515;1;1a000003;ce0124008801cb0c
00:00:07516;1;1a000013;0000000000000000
00:00:07520;1;1a000008;f3000000790c0000
00:00:07523;1;1a000007;1c01f900420748fd
00:00:07524;1;1a000006;f31cc8fe581b0000
00:00:07525;1;1a00000c;6c03000000800000
00:00:07526;1;1a000003;d0012a008801cb0c
00:00:07527;1;1a000013;0000000000000000
00:00:07532;1;1a000008;f3000000790c0000
00:00:07534;1;1a000007;5a01f4002b0908fd
00:00:07535;1;1a000006;12206cfe581b0000
00:00:07537;1;1a00000c;0304000000800000
00:00:07538;1;1a000003;d20147008801cb0c
00:00:07539;1;1a000013;0000000000000000
00:00:07540;1;1a000010;802b763dcdcccc3e
00:00:07541;1;1a000011;e03f18bf6666e63f
00:00:07543;1;1a000012;5214b63d00008040
00:00:07545;1;1a000008;f3000000790c0000
00:00:07548;1;1a000007;bbffa1012fff3501
00:00:07550;1;1a000006;ea001e0d86ff800d
00:00:07552;1;1a00000c;7104fc2192731106
00:00:07553;1;1a000003;c90149008801ca0c
00:00:07555;1;1a000013;0000000000000000
00:00:07561;1;1a000008;f3000000790c0000
00:00:07565;1;1a000007;b5ffd901dbfe1d01
00:00:07566;1;1a000006;80fd180f6bff2a0f
00:00:07568;1;1a00000c;1d05fc217db98d06
00:00:07570;1;1a000003;bd0131008801c90c
00:00:07571;1;1a000013;0000000000000000
00:00:07578;1;1a000008;f3000000790c0000
00:00:07581;1;1a000007;99ff0f0261fe1801
00:00:07582;1;1a000006;75008a122cffd411
00:00:07584;1;1a00000c;b105fc21f4988507
00:00:07586;1;1a000003;b40141008801ca0c
00:00:07587;1;1a000013;0000000000000000
00:00:07594;1;1a000008;f3000000790c0000
00:00:07597;1;1a000007;81ff410201fedc00
00:00:07599;1;1a000006;48ff821116ffba12
00:00:07600;1;1a00000c;7206fc214900f807
00:00:07601;1;1000001;646973636f766572
00:00:07602;1;1a000003;ad0154008801ca0c
00:00:07604;1;1a000013;0000000000000000
00:00:07610;1;1a000008;f3000000790c0000
00:00:07613;1;1a000007;70ff6902c6fdc500
00:00:07615;1;1a000006;bc00e214f5fe2114
00:00:07617;1;1a00000c;1807fc2173f6a708
00:00:07618;1;1a000003;a70161008801cc0c
00:00:07620;1;1a000013;0000000000000000
00:00:07626;1;1a000008;f3000000790c0000
00:00:07629;1;1a000007;48ffa80236fd8b00
00:00:07631;1;1a000006;01fe4015e3feec14
00:00:07633;1;1a00000c;e007fc2124a4e208
00:00:07634;1;1a000003;a40174008801cc0c
00:00:07636;1;1a000013;0000000000000000
00:00:07642;1;1a000008;f3000000790c0000
00:00:07646;1;1a000007;30ffd202bcfc4900
00:00:07647;1;1a000006;41fdcf16c3fe3716
00:00:07649;1;1a00000c;9108fc2157db8709
00:00:07650;1;1a000003;a20186008801ca0c
00:00:07652;1;1a000013;0000000000000000
00:00:07658;1;1a000008;f3000000790c0000
00:00:07662;1;1a000007;18ff0e0343fc3f00
00:00:07663;1;1a000006;e6ff9017affed516
00:00:07665;1;1a00000c;5409fc21f75dcf09
00:00:07667;1;1a000003;a1019a008801ca0c
00:00:07668;1;1a000013;0000000000000000
00:00:07675;1;1a000008;f3000000790c0000
00:00:07678;1;1a000007;f1fe4a0393fbf5ff
00:00:07680;1;1a000006;30fe301985fe1818
00:00:07681;1;1a00000c;0d0afc21b6ac500a
00:00:07683;1;1a000003;a201ad008801cb0c
00:00:07684;1;1a000013;0000000000000000
00:00:07691;1;1a000008;f3000000790c0000
00:00:07694;1;1a000007;c8fe7a031dfbbaff
00:00:07696;1;1a000006;9aff271a5afe6619
00:00:07697;1;1a00000c;cb0afc216509c50a
00:00:07699;1;1a000003;a501c3008801cb0c
00:00:07701;1;1a000013;0000000000000000
00:00:07707;1;1a000008;f3000000790c0000
00:00:07710;1;1a000007;a0feb4036efa6dff
00:00:07712;1;1a000006;63fdf5193afe641a
00:00:07713;1;1a00000c;880bfc216e25650b
00:00:07715;1;1a000003;a901da008801cb0c
00:00:07717;1;1a000013;0000000000000000
00:00:07723;1;1a000008;f3000000790c0000
00:00:07726;1;1a000007;92fee703f6f934ff
00:00:07728;1;1a000006;d2fed91b10fea81b
00:00:07730;1;1a00000c;410cfc214f54f40b
00:00:07731;1;1a000003;af01f3008801cc0c
00:00:07733;1;1a000013;0000000000000000
00:00:07739;1;1a000008;f3000000790c0000
00:00:07743;1;1a000007;6cfe18044cf906ff
00:00:07744;1;1a000006;3bfc1c1de2fd0b1d
00:00:07746;1;1a00000c;f70cfc21f299720c
00:00:07747;1;1a000003;b7010e018801cc0c
00:00:07749;1;1a000013;0000000000000000
00:00:07756;1;1a000008;f3000000790c0000
00:00:07759;1;1a000007;32fe4604d9f897fe
00:00:07760;1;1a000006;2bff0b1e9bfdd51e
00:00:07762;1;1a00000c;b40dfc214564350d
00:00:07764;1;1a000003;c0012c018801ce0c
00:00:07765;1;1a000013;0000000000000000
00:00:07772;1;1a000008;f3000000790c0000
00:00:07775;1;1a000007;03fe88042df831fe
00:00:07777;1;1a000006;02fbfb1f64fd2120
00:00:07778;1;1a00000c;710efc21059ec00d
00:00:07780;1;1a000003;cb014d018801cd0c
00:00:07782;1;1a000013;0000000000000000
00:00:07788;1;1a000008;f3000000790c0000
00:00:07791;1;1a000007;edfdb504bef716fe
00:00:07793;1;1a000006;5cfdbc220efd3022
00:00:07794;1;1a00000c;220ffc2131498d0e
00:00:07796;1;1a000003;d80171018801cd0c
00:00:07798;1;1a000013;0000000000000000
00:00:07804;1;1a000008;f3000000790c0000
00:00:07807;1;1a000007;b4fde4043af79cfd
00:00:07809;1;1a000006;35ff1025cffcac23
00:00:07811;1;1a00000c;dd0ffc210965460f
00:00:07812;1;1a000003;e70199018801cf0c
00:00:07814;1;1a000013;0000000000000000
00:00:07820;1;1a000008;f3000000790c0000
00:00:07823;1;1a000007;78fd0905a8f636fd
00:00:07825;1;1a000006;bbfc312585fc5125
00:00:07827;1;1a00000c;9910fc2122141110
00:00:07828;1;1a000003;f801c1018801ce0c
00:00:07830;1;1a000013;0000000000000000
00:00:07836;1;1a000008;f3000000790c0000
00:00:07840;1;1a000007;55fd4a053cf6cdfc
00:00:07841;1;1a000006;62fd502620fc4b27
00:00:07843;1;1a00000c;4c11fc215eede510
00:00:07845;1;1a000003;0a02eb018801cf0c
